PLAYER,TEAM_BBREF,MP,BPM,SEASON
Bobby Jones,SAS,20.0,-2.0,2007-08
Greg Buckner,MIN,520.0,-4.1,2007-08
Brian Scalabrine,BOS,512.0,-2.8,2007-08
Joel Anthony,MIA,498.0,-5.5,2007-08
Malik Rose,NYK,494.0,-7.5,2007-08
Primož Brezec,3TM,475.0,-7.3,2007-08
Primož Brezec,CHA,267.0,-8.8,2007-08
Primož Brezec,DET,98.0,-2.4,2007-08
Primož Brezec,TOR,110.0,-8.1,2007-08
Dwayne Jones,CLE,472.0,-3.6,2007-08
Mickaël Gelabale,SEA,465.0,-3.1,2007-08
J.J. Barea,DAL,460.0,-1.9,2007-08
Austin Croshere,GSW,457.0,-1.1,2007-08
Ramon Sessions,MIL,450.0,-1.0,2007-08
Brian Cardinal,MEM,440.0,-5.2,2007-08
Theo Ratliff,2TM,437.0,-1.1,2007-08
Theo Ratliff,MIN,214.0,-1.5,2007-08
Theo Ratliff,DET,223.0,-0.7,2007-08
Gilbert Arenas,WAS,425.0,2.4,2007-08
Salim Stoudamire,ATL,402.0,-3.5,2007-08
Derek Anderson,CHA,396.0,-3.2,2007-08
Andre Owens,IND,392.0,-1.0,2007-08
Alonzo Mourning,MIA,389.0,-1.5,2007-08
Jake Voskuhl,MIL,386.0,-5.9,2007-08
Brandan Wright,GSW,376.0,-0.4,2007-08
Walter Herrmann,2TM,373.0,-0.3,2007-08
Walter Herrmann,CHA,174.0,-1.0,2007-08
Walter Herrmann,DET,199.0,0.3,2007-08
C.J. Watson,GSW,368.0,-2.8,2007-08
Gerald Green,2TM,362.0,-4.3,2007-08
Gerald Green,MIN,358.0,-4.8,2007-08
Gerald Green,HOU,4.0,40.9,2007-08
Juwan Howard,DAL,353.0,-6.2,2007-08
Chucky Atkins,DEN,352.0,-3.0,2007-08
Donyell Marshall,2TM,340.0,-3.1,2007-08
Donyell Marshall,CLE,156.0,-3.8,2007-08
Donyell Marshall,SEA,184.0,-2.5,2007-08
Joey Graham,TOR,331.0,-6.5,2007-08
Ruben Patterson,LAC,327.0,-2.5,2007-08
D.J. Mbenga,2TM,326.0,-5.3,2007-08
D.J. Mbenga,GSW,130.0,-5.1,2007-08
D.J. Mbenga,LAL,196.0,-5.4,2007-08
Anfernee Hardaway,MIA,325.0,-1.1,2007-08
Jermareo Davidson,CHA,322.0,-5.2,2007-08
Oleksiy Pecherov,WAS,320.0,-6.1,2007-08
Adrian Griffin,2TM,307.0,-3.0,2007-08
Adrian Griffin,CHI,222.0,-3.8,2007-08
Adrian Griffin,SEA,85.0,-1.0,2007-08
Ike Diogu,IND,305.0,-3.2,2007-08
Eric Snow,CLE,305.0,-6.4,2007-08
Kasib Powell,MIA,304.0,-3.8,2007-08
Stéphane Lasme,2TM,303.0,-4.4,2007-08
Stéphane Lasme,MIA,303.0,-4.4,2007-08
Kevin Ollie,PHI,300.0,-2.7,2007-08
Aaron Williams,LAC,297.0,-2.5,2007-08
Raef LaFrentz,POR,291.0,-2.7,2007-08
Andre Brown,MEM,286.0,-4.7,2007-08
Jamaal Magloire,2TM,286.0,-10.8,2007-08
Jamaal Magloire,NJN,259.0,-9.9,2007-08
Jamaal Magloire,DAL,27.0,-18.8,2007-08
Pat Garrity,ORL,284.0,-6.6,2007-08
Kenny Thomas,SAC,281.0,-6.0,2007-08
Chris Mihm,LAL,278.0,-8.0,2007-08
JJ Redick,ORL,276.0,-2.4,2007-08
Elton Brand,LAC,274.0,-0.3,2007-08
D.J. Strawberry,PHO,270.0,-5.6,2007-08
Mario West,ATL,269.0,-3.8,2007-08
Nick Fazekas,2TM,269.0,0.5,2007-08
Nick Fazekas,DAL,9.0,-4.6,2007-08
Nick Fazekas,LAC,260.0,0.7,2007-08
Nenê,DEN,266.0,-4.2,2007-08
Steve Novak,HOU,264.0,4.2,2007-08
Awvee Storey,MIL,259.0,-5.2,2007-08
Michael Doleac,MIN,257.0,-4.4,2007-08
Marco Belinelli,GSW,241.0,-4.6,2007-08
Shannon Brown,2TM,240.0,-7.9,2007-08
Shannon Brown,CLE,218.0,-5.9,2007-08
Shannon Brown,CHI,22.0,-27.4,2007-08
Luke Jackson,MIA,228.0,-3.9,2007-08
Lindsey Hunter,DET,215.0,-2.1,2007-08
P.J. Brown,BOS,209.0,-2.7,2007-08
Dahntay Jones,SAC,206.0,-0.6,2007-08
Calvin Booth,PHI,204.0,-2.3,2007-08
Steve Francis,HOU,199.0,-2.0,2007-08
Paul Davis,LAC,194.0,-5.5,2007-08
Mike Wilks,3TM,188.0,-2.3,2007-08
Mike Wilks,DEN,122.0,-3.4,2007-08
Mike Wilks,WAS,44.0,1.0,2007-08
Mike Wilks,SEA,22.0,-2.8,2007-08
Randolph Morris,NYK,181.0,-11.6,2007-08
Blake Ahearn,MIA,177.0,-4.8,2007-08
Scot Pollard,BOS,173.0,-2.2,2007-08
Othella Harrington,CHA,166.0,-9.2,2007-08
Maurice Ager,2TM,165.0,-11.1,2007-08
Maurice Ager,DAL,77.0,-13.7,2007-08
Maurice Ager,NJN,88.0,-8.7,2007-08
Richie Frahm,LAC,163.0,-5.1,2007-08
Lorenzen Wright,2TM,161.0,-6.6,2007-08
Lorenzen Wright,ATL,148.0,-5.2,2007-08
Lorenzen Wright,SAC,13.0,-22.2,2007-08
Mike Harris,HOU,159.0,0.3,2007-08
Eddie Gill,2TM,154.0,-0.6,2007-08
Eddie Gill,NJN,149.0,0.4,2007-08
Eddie Gill,SEA,5.0,-32.0,2007-08
Von Wafer,2TM,154.0,-10.3,2007-08
Von Wafer,DEN,90.0,-14.0,2007-08
Von Wafer,POR,64.0,-5.0,2007-08
Mark Madsen,MIN,151.0,-10.6,2007-08
James Augustine,ORL,149.0,-2.8,2007-08
